habitat_type,common_name,total_observations,locations_present
Grassland,Unidentified Swallow,22,2
Grassland,Unidentified Crow,21,4
Grassland,Wood Thrush,19,3
Grassland,Killdeer,18,3
Grassland,Prairie Warbler,18,2
Grassland,Scarlet Tanager,17,4
Grassland,Brown Thrasher,16,4
Grassland,Blue Grosbeak,15,3
Grassland,Eastern Phoebe,15,3
Grassland,Northern Flicker,15,3
Grassland,Orchard Oriole,15,3
Grassland,Unidentified Chickadee,15,2
Grassland,Chimney Swift,14,2
Grassland,Blackpoll Warbler,13,3
Grassland,Hairy Woodpecker,13,4
Grassland,Great Blue Heron,12,2
Grassland,Pileated Woodpecker,12,3
Grassland,Red-shouldered Hawk,10,3
Grassland,House Sparrow,9,2
Grassland,Northern Parula,9,3
Grassland,American Kestrel,8,3
Grassland,Pine Warbler,8,3
Grassland,American Redstart,7,3
Grassland,Purple Martin,6,2
Grassland,Red-tailed Hawk,6,2
Grassland,Yellow Warbler,6,1
Grassland,Bald Eagle,5,2
Grassland,Yellow-breasted Chat,5,3
Grassland,Black Vulture,4,2
Grassland,Yellow-throated Vireo,3,2
Grassland,Barred Owl,2,1
Grassland,Cooper's Hawk,2,2
Grassland,Ruby-throated Hummingbird,2,1
Grassland,Veery,2,1
Grassland,Vesper Sparrow,2,1
Grassland,Wild Turkey,2,2
Grassland,Willow Flycatcher,2,2
Grassland,Bay-breasted Warbler,1,1
Grassland,Belted Kingfisher,1,1
Grassland,Black-and-white Warbler,1,1
Grassland,Black-throated Green Warbler,1,1
Grassland,Cape May Warbler,1,1
Grassland,Chestnut-sided Warbler,1,1
Grassland,Chinese Pond-Heron,1,1
Grassland,Kentucky Warbler,1,1
Grassland,Least Flycatcher,1,1
Grassland,Magnolia Warbler,1,1
Grassland,Northern Waterthrush,1,1
Grassland,Northwestern Crow,1,1
Grassland,Ovenbird,1,1
Grassland,Savannah Sparrow,1,1
Grassland,Summer Tanager,1,1
Grassland,Swainson's Thrush,1,1
Grassland,Swamp Sparrow,1,1
Grassland,Unidentified Flycatcher,1,1
Grassland,Unidentified Warbler,1,1
Grassland,White-eyed Vireo,1,1
Grassland,White-throated Sparrow,1,1
Grassland,Wood Duck,1,1
